"id","date","location","MLST"
52,1999-01-01,"AYR","Other"
70,2000-01-01,"AYR","252"
320,2019-01-01,"AYR","Other"
117,2002-01-01,"BOW","Other"
146,2005-01-01,"BOW","Other"
163,2008-01-01,"BOW","Other"
197,2010-01-01,"BOW","Other"
245,2015-01-01,"BOW","Other"
273,2017-01-01,"BOW","Other"
275,2017-01-01,"BOW","Other"
279,2017-01-01,"BOW","Other"
307,2019-01-01,"BOW","283"
319,2019-01-01,"BOW","Other"
322,2019-01-01,"BOW","Other"
331,2019-01-01,"BOW","Other"
344,2020-01-01,"BOW","Other"
345,2020-01-01,"BOW","Other"
34,1998-01-01,"ING","Other"
101,2001-01-01,"ING","Other"
121,2002-01-01,"ING","Other"
150,2006-01-01,"ING","Other"
180,2009-01-01,"ING","Other"
195,2010-01-01,"ING","Other"
206,2011-01-01,"ING","Other"
228,2013-01-01,"ING","Other"
258,2016-01-01,"ING","276"
276,2017-01-01,"ING","Other"
300,2018-01-01,"ING","Other"
317,2019-01-01,"ING","Other"
337,2020-01-01,"ING","Other"
339,2020-01-01,"ING","276"
341,2020-01-01,"ING","Other"
8,1996-01-01,"MI","TSV64"
10,1996-01-01,"MI","TSV64"
11,1996-01-01,"MI","TSV64"
12,1996-01-01,"MI","TSV64"
15,1996-01-01,"MI","TSV64"
21,1997-01-01,"MI","Other"
58,1999-01-01,"MI","Other"
118,2002-01-01,"MI","Other"
136,2004-01-01,"MI","Other"
140,2004-01-01,"MI","Other"
174,2009-01-01,"MI","Other"
177,2009-01-01,"MI","Other"
207,2011-01-01,"MI","Other"
248,2015-01-01,"MI","Other"
253,2016-01-01,"MI","Other"
261,2016-01-01,"MI","Other"
335,2020-01-01,"MI","Other"
26,1998-01-01,"MK","Other"
94,2000-01-01,"MK","Other"
103,2001-01-01,"MK","Other"
120,2002-01-01,"MK","Other"
172,2008-01-01,"MK","Other"
225,2013-01-01,"MK","Other"
232,2013-01-01,"MK","Other"
235,2013-01-01,"MK","Other"
246,2015-01-01,"MK","Other"
255,2016-01-01,"MK","Other"
281,2017-01-01,"MK","Other"
292,2018-01-01,"MK","Other"
215,2012-01-01,"MK","Other"
229,2013-01-01,"MK","Other"
252,2015-01-01,"MK","Other"
264,2016-01-01,"MK","Other"
3,1996-01-01,"MOR","Other"
4,1996-01-01,"MOR","Other"
5,1996-01-01,"MOR","Other"
6,1996-01-01,"MOR","Other"
7,1996-01-01,"MOR","Other"
13,1996-01-01,"MOR","Other"
14,1996-01-01,"MOR","Other"
17,1996-01-01,"MOR","Other"
18,1996-01-01,"MOR","Other"
32,1998-01-01,"MOR","Other"
56,1999-01-01,"MOR","Other"
59,1999-01-01,"MOR","Other"
64,1999-01-01,"MOR","Other"
92,2000-01-01,"MOR","Other"
109,2002-01-01,"MOR","Other"
112,2002-01-01,"MOR","Other"
116,2002-01-01,"MOR","Other"
122,2002-01-01,"MOR","Other"
127,2003-01-01,"MOR","Other"
128,2003-01-01,"MOR","Other"
147,2006-01-01,"MOR","Other"
149,2006-01-01,"MOR","Other"
153,2007-01-01,"MOR","Other"
154,2007-01-01,"MOR","Other"
108,2002-01-01,"MOR","Other"
110,2002-01-01,"MOR","Other"
111,2002-01-01,"MOR","Other"
130,2004-01-01,"MOR","Other"
240,2014-01-01,"MOR","Other"
243,2014-01-01,"MOR","Other"
278,2017-01-01,"MOR","Other"
280,2017-01-01,"MOR","Other"
321,2019-01-01,"MOR","Other"
37,1998-01-01,"NOR","252"
141,2004-01-01,"NOR","Other"
164,2008-01-01,"NOR","Other"
314,2019-01-01,"NOR","Other"
325,2019-01-01,"NOR","Other"
334,2020-01-01,"NOR","Other"
182,2010-01-01,"PROS","Other"
184,2010-01-01,"PROS","Other"
244,2015-01-01,"PROS","Other"
49,1999-01-01,"PROS","Other"
277,2017-01-01,"PROS","Other"
311,2019-01-01,"PROS","283"
274,2017-01-01,"PROS","283"
220,2012-01-01,"Rock","Other"
267,2016-01-01,"Rock","Other"
19,1997-01-01,"TSV","Other"
25,1998-01-01,"TSV","Other"
27,1998-01-01,"TSV","252"
28,1998-01-01,"TSV","252"
53,1999-01-01,"TSV","252"
54,1999-01-01,"TSV","814"
60,1999-01-01,"TSV","814"
63,1999-01-01,"TSV","252"
65,1999-01-01,"TSV","Other"
72,2000-01-01,"TSV","252"
77,2000-01-01,"TSV","Other"
82,2000-01-01,"TSV","Other"
86,2000-01-01,"TSV","283"
90,2000-01-01,"TSV","252"
91,2000-01-01,"TSV","252"
93,2000-01-01,"TSV","Other"
96,2000-01-01,"TSV","Other"
97,2000-01-01,"TSV","252"
98,2000-01-01,"TSV","252"
102,2001-01-01,"TSV","252"
105,2001-01-01,"TSV","283"
107,2002-01-01,"TSV","Other"
113,2002-01-01,"TSV","276"
114,2002-01-01,"TSV","252"
115,2002-01-01,"TSV","283"
119,2002-01-01,"TSV","814"
123,2002-01-01,"TSV","283"
124,2002-01-01,"TSV","Other"
125,2003-01-01,"TSV","Other"
126,2003-01-01,"TSV","283"
131,2004-01-01,"TSV","Other"
132,2004-01-01,"TSV","252"
133,2004-01-01,"TSV","252"
134,2004-01-01,"TSV","252"
137,2004-01-01,"TSV","276"
138,2004-01-01,"TSV","Other"
139,2004-01-01,"TSV","Other"
143,2005-01-01,"TSV","Other"
144,2005-01-01,"TSV","252"
159,2008-01-01,"TSV","Other"
161,2008-01-01,"TSV","252"
162,2008-01-01,"TSV","Other"
175,2009-01-01,"TSV","252"
178,2009-01-01,"TSV","Other"
190,2010-01-01,"TSV","252"
192,2010-01-01,"TSV","814"
205,2011-01-01,"TSV","276"
208,2011-01-01,"TSV","252"
209,2011-01-01,"TSV","252"
210,2011-01-01,"TSV","Other"
239,2014-01-01,"TSV","814"
256,2016-01-01,"TSV","252"
263,2016-01-01,"TSV","252"
298,2018-01-01,"TSV","Other"
308,2019-01-01,"TSV","Other"
310,2019-01-01,"TSV","252"
346,2020-01-01,"TSV","252"
74,2000-01-01,"TSV","252"
167,2008-01-01,"TSV","252"
179,2009-01-01,"TSV","TSV13"
290,2018-01-01,"TSV","252"
304,2019-01-01,"TSV","283"
336,2020-01-01,"TSV","814"
73,2000-01-01,"TSV","283"
79,2000-01-01,"TSV","252"
81,2000-01-01,"TSV","276"
188,2010-01-01,"TSV","Other"
217,2012-01-01,"TSV","Other"
312,2019-01-01,"TSV","Other"
313,2019-01-01,"TSV","Other"
330,2019-01-01,"TSV","Other"
88,2000-01-01,"TSV","283"
165,2008-01-01,"TSV","276"
203,2011-01-01,"TSV","Other"
214,2012-01-01,"TSV","276"
257,2016-01-01,"TSV","Other"
303,2019-01-01,"TSV","TSV13"
305,2019-01-01,"TSV","283"
315,2019-01-01,"TSV","283"
324,2019-01-01,"TSV","Other"
338,2020-01-01,"TSV","Other"
30,1998-01-01,"TSV","Other"
69,2000-01-01,"TSV","Other"
160,2008-01-01,"TSV","Other"
213,2012-01-01,"TSV","Other"
222,2013-01-01,"TSV","Other"
241,2014-01-01,"TSV","Other"
251,2015-01-01,"TSV","Other"
282,2017-01-01,"TSV","Other"
291,2018-01-01,"TSV","Other"
299,2018-01-01,"TSV","Other"
328,2019-01-01,"TSV","Other"
9,1996-01-01,"TSV","Other"
20,1997-01-01,"TSV","Other"
22,1997-01-01,"TSV","35"
31,1998-01-01,"TSV","35"
51,1999-01-01,"TSV","35"
80,2000-01-01,"TSV","Other"
84,2000-01-01,"TSV","Other"
135,2004-01-01,"TSV","35"
157,2007-01-01,"TSV","Other"
158,2008-01-01,"TSV","Other"
166,2008-01-01,"TSV","Other"
173,2008-01-01,"TSV","Other"
194,2010-01-01,"TSV","Other"
212,2012-01-01,"TSV","814"
216,2012-01-01,"TSV","Other"
218,2012-01-01,"TSV","276"
227,2013-01-01,"TSV","35"
233,2013-01-01,"TSV","TSV13"
238,2014-01-01,"TSV","Other"
259,2016-01-01,"TSV","TSV13"
262,2016-01-01,"TSV","Other"
268,2016-01-01,"TSV","Other"
270,2017-01-01,"TSV","TSV13"
272,2017-01-01,"TSV","Other"
283,2018-01-01,"TSV","TSV13"
287,2018-01-01,"TSV","35"
289,2018-01-01,"TSV","276"
318,2019-01-01,"TSV","Other"
327,2019-01-01,"TSV","Other"
340,2020-01-01,"TSV","TSV13"
39,1998-01-01,"TSV","Other"
42,1998-01-01,"TSV","Other"
71,2000-01-01,"TSV","252"
85,2000-01-01,"TSV","283"
155,2007-01-01,"TSV","283"
186,2010-01-01,"TSV","283"
198,2010-01-01,"TSV","Other"
200,2011-01-01,"TSV","276"
201,2011-01-01,"TSV","Other"
316,2019-01-01,"TSV","Other"
1,1996-01-01,"TSV","Other"
23,1997-01-01,"TSV","Other"
33,1998-01-01,"TSV","Other"
36,1998-01-01,"TSV","252"
55,1999-01-01,"TSV","Other"
83,2000-01-01,"TSV","Other"
169,2008-01-01,"TSV","Other"
185,2010-01-01,"TSV","Other"
199,2011-01-01,"TSV","Other"
204,2011-01-01,"TSV","Other"
223,2013-01-01,"TSV","Other"
224,2013-01-01,"TSV","Other"
226,2013-01-01,"TSV","Other"
230,2013-01-01,"TSV","Other"
231,2013-01-01,"TSV","Other"
234,2013-01-01,"TSV","Other"
237,2014-01-01,"TSV","Other"
260,2016-01-01,"TSV","Other"
271,2017-01-01,"TSV","Other"
309,2019-01-01,"TSV","Other"
342,2020-01-01,"TSV","Other"
343,2020-01-01,"TSV","Other"
176,2009-01-01,"TSV","Other"
187,2010-01-01,"TSV","283"
191,2010-01-01,"TSV","283"
302,2019-01-01,"TSV","283"
326,2019-01-01,"TSV","283"
329,2019-01-01,"TSV","Other"
24,1998-01-01,"TSV","Other"
183,2010-01-01,"TSV","252"
